"S.
No.","Tender/Proposal ID,
Reference No,
Public Status","Procurement Nature,
Title","Ministry,
Division,
Organization,
PE","Type,
Method","Publishing Date and Time,
Closing Date and Time"
1,"993809,
PWD/Bari/SBMCH/Memo-34/16-05-24/Sl-6/2023-24,
Live","Works,
Ancillary repair work including with construction of walkway beside the west side field of Sher-E-Bangla Medical College Hospital at Barishal.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Barisal PWD Division","NCT,
OTM","30-May-2024 19:05,
10-Jun-2024 12:15"
2,"993807,
PWD/Bari/SBMCH/Memo-29/29-04-24/Sl-14/2023-24,
Live","Works,
Repair work of Civil & Sanitary of Seminar room of Orthopedics of Sher-E-Bangla Medical College Hospital at Barishal. Sub Head :- Repair work of Civil & Sanitary of Seminar room of Surgery of Sher-E-Bangla Medical College Hospital at Barishal.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Barisal PWD Division","NCT,
OTM","30-May-2024 19:00,
10-Jun-2024 12:15"
3,"994058,
25.36.2600.612.07.713.24.98 AC Nam,
Live","Works,
Supply and Installation of AC and other ancillary works in flat 204,301 of NAM building 1,2 at Nakhalpara and SPBN office.
 ","Ministry of Housing and Public Works,
Public Works Department (PWD),
PWD EM Division-1, Dhaka","NCT,
OTM","30-May-2024 19:00,
10-Jun-2024 14:00"
4,"993844,
RABHQ/CPS/2023-2024/4112316/1391 Date: 15-04-2024,
Live","Goods,
Procurement of Baggage scanner for RAB Forces","Ministry of Home Affairs,
Bangladesh Police,
Central Procurement Section, Rapid Action Battalion Forces Headquarters, Kurmitola, Dhaka","NCT,
OTM","30-May-2024 19:00,
10-Jun-2024 12:00"
5,"992330,
27.24.0000.021.07.028.24.883, Date: 27.05.2024,
Live","Works,
Construction of Boundary Wall and Yard Development with Related Works at Purbachal Sector-18 for Sub-Store Division","Ministry of Energy, Power and Mineral Resources,
Power Division,
Dhaka Electric Supply Company LTD (DESCO),
P,I & T Division","NCT,
OSTETM","30-May-2024 18:30,
24-Jun-2024 15:00"
6,"993379,
DUET/P&D/IFT/GR-78(2023-24)/868 ; Date: 30/10/2024,
Live","Goods,
Procurement of Office Furniture for Various Office of DUET, Gazipur","Ministry of Education,
Secondary and Higher Education Division,
Dhaka University of Engineering & Technology (DUET),
Office of the Director (Planning & Development)","NCT,
OTM","30-May-2024 18:24,
20-Jun-2024 15:00"
7,"993382,
DUET/P&D/IFT/WR-11(2023-24)/869 ; Date: 30/05/2024,
Live","Works,
Installation of New Gas Connection and Repair & Maintenance of existing Line at the Old and New Campus of DUET, Gazipur","Ministry of Education,
Secondary and Higher Education Division,
Dhaka University of Engineering & Technology (DUET),
Office of the Director (Planning & Development)","NCT,
OTM","30-May-2024 18:23,
20-Jun-2024 12:30"
8,"994182,
egp/khul1/em/rapp.non.re.16/23-24,
Live","Works,
Emergency electrical repair works at different rooms of Metropolitan Sessions Judge Court, Khulna.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Khulna PWD Division-1","NCT,
OTM","30-May-2024 18:23,
11-Jun-2024 12:00"
9,"993390,
DUET/P&D/IFT/GR-79(2023-24)/867 ; Date: 30/05/2024,
Live","Goods,
Printing & Supply of DUET Journal and Miscellaneous Goods for DUET, Gazipur","Ministry of Education,
Secondary and Higher Education Division,
Dhaka University of Engineering & Technology (DUET),
Office of the Director (Planning & Development)","NCT,
OTM","30-May-2024 18:04,
20-Jun-2024 14:12"
10,"993930,
egp/khul1/H.S/civil/boundary.barbed/abunaser/23-24,
Live","Works,
Elevating of Western side boundary wall, plastering, painting and installation of circular barbed wires with other ancillary works at 250 bed Shaheed Sheikh Abu Naser Specialized Hospital, Khulna.","Ministry of Housing and Public Works,
Public Works Department (PWD),
Khulna PWD Division-1","NCT,
OTM","30-May-2024 18:03,
10-Jun-2024 12:00"
11,"993375,
DUET/P&D/IFT/GR-80(2023-24)/866 ; Date: 30/05/2024,
Live","Goods,
Supply of Laboratory Equipment for Department of Mechanical Engineering, DUET, Gazipur","Ministry of Education,
Secondary and Higher Education Division,
Dhaka University of Engineering & Technology (DUET),
Office of the Director (Planning & Development)","NCT,
OTM","30-May-2024 18:00,
20-Jun-2024 12:00"
12,"993892,
383/F/D-IV/R of 2023-2024,
Live","Works,
Painting at wall & roof with anicillary repair works of General Surgery, Peadiatric Surgery & Eurology ward at east side of 6th floor of Mugda Medical College Hospital, Dhaka. Financial Year 2023-2024","Ministry of Housing and Public Works,
Public Works Department (PWD),
Dhaka PWD Division-4, Dhaka","NCT,
OTM","30-May-2024 18:00,
10-Jun-2024 15:00"
13,"993902,
387/F/D-IV/R of 2023-2024,
Live","Works,
Construction of RCC slab over inspection pit, repair-renovation of surface drain with cleaning-repairing of safety tank, soak well, inspection pit & soil line cleaning, cleaning weeds & garbage around of buildings for prevention of dengue ...","Ministry of Housing and Public Works,
Public Works Department (PWD),
Dhaka PWD Division-4, Dhaka","NCT,
OTM","30-May-2024 18:00,
10-Jun-2024 15:00"
14,"989853,
DLS/RDBF/Mymensingh/2024-2025/GR-1,
Live","Goods,
DLS/RDBF/Mymensingh/2024-2025/GR-1
LOT NO-1 Procurement of 1. Duck Starter Pellet Feed 2. Duck Grower Pellet Feed 3. Duck Breeder Pellet Feed 4. Rice husk under at Regional Duck Breeding Farm, Mymensingh.","Ministry of Fisheries & Livestock,
Department of Livestock Services (DLS),
Regional Duck Breeding Farm Including Hatchery, Mymensingh","NCT,
OTM","30-May-2024 18:00,
13-Jun-2024 18:00"
